Year,Name,Age,Tm,Lg,Aff,W,L,W-L%,ERA,G,GS,CG,SHO,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9
1965,Nolan Ryan,18,Marion,APPY,NYM,3,6,0.333,4.38,13,12,2,1,78,61,47,38,4,56,3,115,8,0,6,,1.5,7,0.5,6.5,13.3
2004,Zack Greinke,20,KCR,AL,KCR,8,11,0.421,3.97,24,24,0,0,143,64,64,26,26,3,100,8,1,1,599,120,8.9,1.6,1.6,6.2,3.85
